benchmark	effekt-jit	effekt-jit-2-context	effekt-jit-no-addcej	effekt-jit-no-context	effekt-jit-no-labelbydefsite	effekt-jit-no-opt	effekt-jit-no-specialization
tree_explore	0.21450965317857143	0.27626741261904764	0.21490327633333337	0.2641269224090909	0.23310233168	0.34580841254999994	0.31104506255
countdown	0.4373374395500001	0.4321986333500001	0.437429975	0.43582744785000005	0.43204546665	0.4354544918	0.4318954166
multiple_handlers	1.01860005415	0.52941793125	1.0194734395500002	2.25357070005	0.74436009995	2.70260467705	0.8423791520000001
nqueens	0.83162104805	0.6158035876500001	0.8317534395500001	0.8635377770500001	0.8298396604	1.1136512083	1.0995524666
handler_sieve	2.0670625832500003	2.1024371103999995	2.06372301255	2.0023355917	1.9931502875000002	3.5732436624000004	3.6741170374500003
iterator	0.019388006214285696	0.023651661889328057	0.01939341852564103	0.5411050624	0.02359466204761906	0.6271162335	0.02350961525490196
triples	0.10327985855172414	0.13191346204444443	0.10331439298275866	0.1471508354	0.10647696949999998	0.16386824533333336	0.1254597561702128
parsing_dollars	0.41948664585000006	0.092527488984375	0.41593622315	3.293562018699999	0.09202167370769233	3.8170708606000003	0.0921339212
generator	0.548086152	0.6071320269499999	0.5491564064	0.5429401312000001	0.5523998374500001	0.70625452285	0.7216907687
product_early	0.2534008315652174	0.2565637028260869	0.25303172834782606	0.2577945724782609	0.2569858533043478	0.3481866291000001	0.3548377978
fibonacci_recursive	5.3074641499999995	6.7687445562	5.306953729049999	6.3844531624	6.15446190005	7.8409842686500015	8.107314745950001
counter	nan	nan	nan	nan	nan	nan	nan
to_outermost_handler	0.7866861499500001	0.7913751082	0.7865047687	0.7913739333500002	1.4363923959	1.3975238417500002	0.79122843755
startup	0.0056494495004730345	0.009738101428805242	0.00564402420547946	0.009724892134615387	0.00972890476575121	0.009695322309178746	0.009685831461290326
unused_handlers	0.43831792504999995	0.43263818965	0.43864987705000014	0.43736298954999997	0.7275141438500002	0.7580996959000001	0.43269303545
resume_nontail	0.10864936283636362	0.11575967160784313	0.10866574474545455	0.187012765625	0.11491947994230774	0.23244344996	0.13342683793333338
