benchmark	eff-jit	eff-plain-ocaml	effekt-jit	effekt-js	effekt-llvm	effekt-ml	koka-c	koka-js	koka-vm	oldeff-plain-ocaml
tree_explore	0.32312195825	1.20609778545	0.21450965317857143	0.8931271582000002	0.36212090835000005	0.1770265476764706	0.8242852478000001	0.5712257959	0.39316190630000003	0.180249481060606
countdown	0.19612974439999997	8.1088680626	0.4373374395500001	0.8929077292	1.0166262021	0.06612088477777778	3.2281506937500004	0.8371639562000001	0.23942552176000004	0.12838530078260868
multiple_handlers	1.2081443979000002	10.2052717125	1.01860005415	4.3587654543	0.9721516896000001	0.64256974355	12.271313791899995	7.046746775	0.9966223832500003	nan
nqueens	0.49978697074999995	nan	0.83162104805	1.1769028249	0.89173481865	0.1096946928703704	8.130374056250002	2.0891095208	0.5622501688000001	0.2939968146500001
handler_sieve	2.3761693208	25.29326644155	2.0670625832500003	2.2911751125000004	0.37899918545	nan	3.837373264599999	nan	2.12145659575	8.32592741665
iterator	0.05981381544	2.97152382925	0.019388006214285696	0.2452238958333333	0.22782343423076926	0.1910682769032258	0.34325168549999996	0.4016971228000001	0.18779047312903224	1.0150497563
triples	0.16253039830555552	0.5812077083	0.10327985855172414	0.8573434083999999	0.2269704695384616	0.04255777345	12.561798612450001	2.6422863020999996	0.44461410414999997	0.14951650625000001
parsing_dollars	0.1753860771764706	16.66407511245	0.41948664585000006	0.5680105501000001	2.7572615939	0.1288179203478261	3.5360768456500002	6.1150867748	0.6048749000499999	1.1728352854000001
generator	0.34759226670000004	2.4716607125	0.548086152	3.86266972705	4.5203794063	nan	50.53239872300001	13.91726696245	0.5082078752	2.0182467083000004
product_early	0.4034948021	4.990665450100001	0.2534008315652174	0.6549114105999999	0.21510752318518522	0.3834648562	10.24619405835	2.7364531356	0.4402097395500001	0.97323870845
fibonacci_recursive	6.194704073	40.662642677250005	5.3074641499999995	17.88892130205	1.6501531770500002	2.1042189543000003	1.3012595271	3.5125278144500003	3.2593865499000003	1.4335110710000003
counter	nan	nan	nan	nan	nan	nan	1.9701487083500002	0.5446573376000001	0.3165411228000001	nan
to_outermost_handler	nan	nan	0.7866861499500001	0.8952825604000003	0.9950252106000004	nan	3.99244048755	1.3001522060999997	0.5867473167000001	nan
startup	0.0054954159373272	0.003701009795340051	0.0056494495004730345	0.036764819179012344	0.0040904705995777595	0.003932981913254681	0.0036291240453446183	0.05174666306956523	0.16900299528571436	0.0036986181100123684
unused_handlers	2.1290501541499998	nan	0.43831792504999995	0.89583262085	0.9941647875500002	nan	3.22559798345	0.8640529876	0.24044787504166673	nan
resume_nontail	0.12225376704081631	1.49216260205	0.10864936283636362	nan	0.1267759125333333	0.11204823666037737	9.10189164985	nan	0.28720009165000004	0.22869219542307698
