benchmark	eff-jit	eff-jit-2-context	eff-jit-no-addcej	eff-jit-no-context	eff-jit-no-labelbydefsite	eff-jit-no-opt	eff-jit-no-specialization
tree_explore	0.32312195825	0.4627229334000001	0.32338897915000003	0.30977215835000005	0.32328419575000006	0.42788767920000004	0.46424148330000004
countdown	0.19612974439999997	0.29425292715	0.19623703609999998	0.29395452935	0.35620701855000003	0.35596329585	0.32519841255
multiple_handlers	1.2081443979000002	0.5822578166500001	1.2078143167	2.5209728146	0.8086556478500002	3.23436545645	0.90327095825
nqueens	0.49978697074999995	0.86628045015	0.4998408249	0.8799243207	0.5126233792000001	1.36433553955	0.6382735376
handler_sieve	2.3761693208	2.3793009458	2.378202431299999	2.3132271957499997	2.27300071455	2.8355575311500005	3.0506122771
iterator	0.05981381544	0.06439909943010755	0.059853292469999986	1.0685334040999999	0.08920342844776116	1.2444886979	0.06418896007526881
triples	0.16253039830555552	0.2118438958571429	0.1625677950833334	0.2099372380357143	0.16877881194285718	0.22542873088461543	0.1947503653
parsing_dollars	0.1753860771764706	0.2165876357037037	0.17540340311764707	3.2263124895499997	0.21553059725925927	3.8757612957500003	0.2578764746086957
generator	0.34759226670000004	0.39463723965	0.3481546333	0.33246961485000004	0.34012613545000003	0.41362651884999996	0.44092013115000006
product_early	0.4034948021	0.40829377485000007	0.40870006045	0.4120723311999999	0.41421120190000005	0.67069597505	0.6942600917500001
fibonacci_recursive	6.194704073	7.52777327915	6.1963960063000005	7.73498543755	7.30342667915	9.59679638965	9.25586727505
counter	nan	nan	nan	nan	nan	nan	nan
to_outermost_handler	nan	nan	nan	nan	nan	nan	nan
startup	0.0054954159373272	0.0095737759858934	0.005497424526022305	0.00956053669774921	0.009579886465007775	0.009551040844884489	0.009540245061708863
unused_handlers	2.1290501541499998	2.2667489105500005	2.128846998	2.1337013396	2.9527918083999998	2.9247095083000003	2.3752198521
resume_nontail	0.12225376704081631	0.1315359723111111	0.12234219891836733	0.1250559529787234	0.12782573095652172	0.14637962195121954	0.14944311982500008
